participant,task_type,repetition,condition,latency,trial_order
39,boxblock,2.0,2.0,0ms,7
39,boxblock,2.0,3.0,50ms,8
39,boxblock,2.0,4.0,100ms,9
39,boxblock,2.0,5.0,200ms,10
40,,,,,1
40,,,,,2
40,,,,,3
40,,,,,4
40,,,,,5
40,,,,,6
40,,,,,7
40,,,,,8
40,,,,,9
40,,,,,10
